origen,experimento,seed,dataset,ssl_method,use_semi,arch,backbone,pool,fraccion_etiquetas,lambda_u,tau,ema_decay,semi_start_epoch,best_epoch,epocas_corridas,early_stopped,val_f1_global,test_f1_mean,test_f1_std,test_f1_global,test_iou_mean,test_bf1_mean,test_assd_px,test_hd95_px,c2c4_err_px
runs_final_v1,cps_r10_smoketest,0,inca,cps,True,unetpp,efficientnet-b3,unlabeling_r10_max0/images,,0.05,0.95,0.99,1,18,30,False,0.8789355967188991,0.854993999004364,0.11976268142461777,0.8514602580647282,0.7623538374900818,0.9321,1.6336,5.7782,
runs_final_v1,cps_r3,0,inca,cps,True,unetpp,efficientnet-b3,unlabeling_r3_max0/images,,0.05,0.95,0.99,15,33,73,True,0.885271163691666,0.838483989238739,0.14997752010822296,0.8368483647171274,0.7451527118682861,0.9191,1.9025,7.747,14.971
runs_final_v1,mean_teacher_all_lateral,0,inca,mean_teacher,True,unetpp,efficientnet-b3,unlabeling_all_lateral/images,,0.05,0.95,0.99,15,31,71,True,0.8793687137125854,0.8639786839485168,0.12046090513467789,0.8613815836273749,0.776233434677124,0.9367,1.7517,5.6964,14.645
runs_final_v1,mean_teacher_all_lateral,1,inca,mean_teacher,True,unetpp,efficientnet-b3,unlabeling_all_lateral/images,,0.05,0.95,0.99,15,31,71,True,0.8762901173469313,0.8535189032554626,0.12606805562973022,0.8504136310104273,0.761683464050293,0.9352,1.5013,5.2989,11.701
runs_final_v1,mean_teacher_all_lateral,2,inca,mean_teacher,True,unetpp,efficientnet-b3,unlabeling_all_lateral/images,,0.05,0.95,0.99,15,30,70,True,0.878799212917829,0.8632016181945801,0.08534157276153564,0.856046700853002,0.7684923410415649,0.9344,1.6094,6.0408,14.478
runs_final_v1,mean_teacher_deeplabv3plus_std_matched_r15,0,unm,mean_teacher,True,deeplabv3plus,efficientnet-b3,unlabeling_std_matched_r15/images,,0.05,0.95,0.99,15,131,171,True,0.8679045968466882,0.8077671527862549,0.1646823137998581,0.8133881397460083,0.7018615007400513,0.9183,1.9626,7.2428,12.112
runs_final_v1,mean_teacher_deeplabv3plus_std_matched_r15,1,unm,mean_teacher,True,deeplabv3plus,efficientnet-b3,unlabeling_std_matched_r15/images,,0.05,0.95,0.99,15,97,137,True,0.8590748272320379,0.808121383190155,0.18328815698623657,0.8113514725519311,0.7094823718070984,0.9076,2.312,7.9497,14.816
runs_final_v1,mean_teacher_deeplabv3plus_std_matched_r15,2,unm,mean_teacher,True,deeplabv3plus,efficientnet-b3,unlabeling_std_matched_r15/images,,0.05,0.95,0.99,15,129,169,True,0.8547259042156342,0.7833291888237,0.2006959170103073,0.7977679198695288,0.6792834997177124,0.8935,2.4522,9.3253,15.127
runs_final_v1,mean_teacher_fpn_std_matched_r15,0,unm,mean_teacher,True,fpn,efficientnet-b3,unlabeling_std_matched_r15/images,,0.05,0.95,0.99,15,56,96,True,0.8596319939910213,0.7789097428321838,0.205330491065979,0.7863637292356485,0.6735203266143799,0.8803,2.3543,7.005,10.819
runs_final_v1,mean_teacher_fpn_std_matched_r15,1,unm,mean_teacher,True,fpn,efficientnet-b3,unlabeling_std_matched_r15/images,,0.05,0.95,0.99,15,83,123,True,0.8596464158383131,0.8276984095573425,0.13905194401741028,0.8274513628159211,0.7256223559379578,0.9113,2.0986,7.53,11.578
runs_final_v1,mean_teacher_fpn_std_matched_r15,2,unm,mean_teacher,True,fpn,efficientnet-b3,unlabeling_std_matched_r15/images,,0.05,0.95,0.99,15,29,69,True,0.8595905449175542,0.8262340426445007,0.1168244332075119,0.8212520471542356,0.7183030843734741,0.9254,2.2526,8.6788,12.276
runs_final_v1,mean_teacher_r10,0,inca,mean_teacher,True,unetpp,efficientnet-b3,unlabeling_r10_max0/images,,0.05,0.95,0.99,15,41,81,True,0.8839308679663765,0.8469019532203674,0.11967440694570541,0.8426711885667588,0.7502973079681396,0.9303,1.5926,6.1557,13.916
runs_final_v1,mean_teacher_r10,1,inca,mean_teacher,True,unetpp,efficientnet-b3,unlabeling_r10_max0/images,,0.05,0.95,0.99,15,34,74,True,0.8795177762664683,0.8536955118179321,0.11213549226522446,0.8482233847403996,0.7591089010238647,0.9303,1.7335,7.0107,15.811
runs_final_v1,mean_teacher_r10,2,inca,mean_teacher,True,unetpp,efficientnet-b3,unlabeling_r10_max0/images,,0.05,0.95,0.99,15,17,57,True,0.8838015278346848,0.847467839717865,0.1618107706308365,0.8504959562720901,0.76016765832901,0.9195,1.8959,7.3039,14.81
runs_final_v1,mean_teacher_r10,3,inca,mean_teacher,True,unetpp,efficientnet-b3,unlabeling_r10_max0/images,,0.05,0.95,0.99,15,29,69,True,0.8753103923023731,0.859593391418457,0.13358016312122345,0.8609618206746404,0.7721657156944275,0.934,1.6688,6.7942,14.968
runs_final_v1,mean_teacher_r10,4,inca,mean_teacher,True,unetpp,efficientnet-b3,unlabeling_r10_max0/images,,0.05,0.95,0.99,15,25,65,True,0.8798586858751672,0.8431260585784912,0.11051228642463684,0.8352114960731123,0.7428872585296631,0.9143,2.4015,11.0416,19.415
runs_final_v1,mean_teacher_r10_frac25,0,inca,mean_teacher,True,unetpp,efficientnet-b3,unlabeling_r10_max0/images,/content/drive/MyDrive/UNM_vertebras_seg_v3/label_fractions/frac_25/stems.txt,0.05,0.95,0.99,15,54,94,True,0.8635386469489076,0.8402926921844482,0.1270088404417038,0.8373109520597989,0.741483747959137,0.9134,2.1843,11.1032,18.132
